Точки розбиття   Значення функції

2.0:             1.4163600000000005
2.001:             1.4155453867774155
2.002:             1.4147106514295615
2.003:             1.4138558180634093
2.004:             1.4129809111905067
2.005:             1.4120859557264052
2.006:             1.4111709769900733
2.007:             1.4102360007033057
2.008:             1.4092810529901207
2.009:             1.4083061603761504
2.01:             1.4073113497880239
2.011:             1.4062966485527357
2.012:             1.4052620843970132
2.013:             1.4042076854466692
2.014:             1.403133480225953
2.015:             1.4020394976568833
2.016:             1.40092576705858
2.017:             1.3997923181465863
2.018:             1.39863918103218
2.019:             1.3974663862216767
2.02:             1.3962739646157252
2.021:             1.3950619475085948
2.022:             1.3938303665874556
2.023:             1.3925792539316442
2.024:             1.3913086420119283
2.025:             1.3900185636897586
2.026:             1.3887090522165149
2.027:             1.3873801412327378
2.028:             1.3860318647673624
2.029:             1.3846642572369323
2.03:             1.383277353444816
2.031:             1.3818711885804038
2.032:             1.380445798218306
2.033:             1.3790012183175393
2.034:             1.3775374852207027
2.035:             1.3760546356531473
2.036:             1.3745527067221377
2.037:             1.3730317359160056
2.038:             1.3714917611032955
2.039:             1.3699328205318995
2.04:             1.3683549528281855
2.041:             1.3667581969961207
2.042:             1.3651425924163814
2.043:             1.3635081788454562
2.044:             1.361854996414745
2.045:             1.3601830856296429
2.046:             1.3584924873686262
2.047:             1.3567832428823177
2.048:             1.355055393792554
2.049:             1.3533089820914417
2.05:             1.351544050140406
2.051:             1.3497606406692262
2.052:             1.3479587967750724
2.053:             1.346138561921527
2.054:             1.344299979937605
2.055:             1.3424430950167565
2.056:             1.340567951715871
2.057:             1.3386745949542702
2.058:             1.336763070012694
2.059:             1.3348334225322724
2.06:             1.3328856985135005
2.061:             1.3309199443151984
2.062:             1.3289362066534667
2.063:             1.326934532600629
2.064:             1.324914969584174
2.065:             1.3228775653856868
2.066:             1.3208223681397715
2.067:             1.3187494263329655
2.068:             1.3166587888026504
2.069:             1.3145505047359514
2.07:             1.3124246236686323
2.071:             1.3102811954839793
2.072:             1.3081202704116792
2.073:             1.3059418990266938
2.074:             1.3037461322481212
2.075:             1.30153302133805
2.076:             1.2993026179004108
2.077:             1.2970549738798174
2.078:             1.2947901415604015
2.079:             1.292508173564637
2.08:             1.2902091228521617
2.081:             1.2878930427185908
2.082:             1.2855599867943213
2.083:             1.2832100090433272
2.084:             1.2808431637619546
2.085:             1.278459505577702
2.086:             1.2760590894480022
